,id,budget,genres,overview,popularity,production_companies,release_date,revenue,title,vote_average,original_language,vote_count
1668,760336,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","At the tense 1938 Munich Conference, former friends who now work for opposing governments become reluctant spies racing to expose a Nazi secret.",40.231,"[{'id': 120114, 'logo_path': None, 'name': 'Turbine Studios', 'origin_country': 'GB'}, {'id': 8363, 'logo_path': '/2jrr5PsaURZK5WO2aCauc6cZHRr.png', 'name': 'Euston Films', 'origin_country': 'GB'}, {'id': 26554, 'logo_path': '/8KCY7SFDapSTQhEVH6jQMaabCmV.png', 'name': 'FremantleMedia', 'origin_country': 'GB'}]",2022-01-06,0,Munich: The Edge of War,6.9,en,325
1669,533642,10000000,"[{'id': 27, 'name': 'Horror'}]","Karen, a single mother, gifts her son Andy a Buddi doll for his birthday, unaware of its more sinister nature. A contemporary re-imagining of the 1988 horror classic.",40.099,"[{'id': 87671, 'logo_path': '/kEEGB5Z2XLYeR3AMt3Qds7vMnvM.png', 'name': 'KatzSmith Productions', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/aOWKh4gkNrfFZ3Ep7n0ckPhoGb5.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 85465, 'logo_path': '/pYRSCID37ULO3fyP2HiuGA828IN.png', 'name': 'Oddfellows Entertainment', 'origin_country': 'CA'}, {'id': 41, 'logo_path': '/AuAIlCWBrbhbUFFrJ6M9E3ihBoj.png', 'name': 'Orion Pictures', 'origin_country': 'US'}]",2019-06-19,44902237,Child's Play,6.0,en,1540
1670,8204,90000000,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",40.584,"[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 862, 'logo_path': '/udTjbqPmcTbfrihMuLtLcizDEM1.png', 'name': 'The Kennedy/Marshall Company', 'origin_country': 'US'}]",2008-02-14,164170327,The Spiderwick Chronicles,6.6,en,2162
1671,9880,37000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.",41.779,"[{'id': 65559, 'logo_path': None, 'name': 'Bottom of the Ninth Productions', 'origin_country': ''}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 26423, 'logo_path': None, 'name': 'BrownHouse Productions', 'origin_country': 'US'}]",2001-08-03,165335153,The Princess Diaries,6.9,en,4130
1672,726208,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","After the strange death of his young son at their new home, Daniel hears a ghostly plea for help, spurring him to seek out a renowned paranormal expert.",45.352,"[{'id': 13287, 'logo_path': None, 'name': 'Kowalski Films', 'origin_country': 'ES'}, {'id': 981, 'logo_path': '/pkrdO9ykplO4Zc8edikoSX5APUN.png', 'name': 'TVE', 'origin_country': 'ES'}]",2020-07-24,443458,Don't Listen,6.5,es,579
1673,568091,0,"[{'id': 53, 'name': 'Thriller'}]","Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",38.282,"[{'id': 112258, 'logo_path': None, 'name': 'Koji Productions', 'origin_country': ''}, {'id': 112259, 'logo_path': None, 'name': 'Crow Island Films', 'origin_country': ''}, {'id': 24902, 'logo_path': None, 'name': 'Macari/Edelstein', 'origin_country': ''}, {'id': 23596, 'logo_path': None, 'name': 'Paul Schiff Productions', 'origin_country': 'US'}]",2019-09-22,0,Fractured,6.7,en,1821
1674,796822,0,[],FUK YOUtube :P,40.623,[],2008-07-01,0,DRagON BALL P2 2wice dropda bbeet,1.5,en,2
1675,570503,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","In 1994, on the first day that Yoo Yeul went on air as the new DJ of the popular radio show ‘Music Album,' a college girl Mi-su meets Hyun-woo who happens to drop by the bakery she works at. Like the music streaming from the radio, their frequencies slowly come in sync; even when they're apart, the show brings them together through ebbs and flows of events arising from both pure coincidence and inevitability, until the bitter reality sets in and drives them apart...",41.777,"[{'id': 112659, 'logo_path': None, 'name': 'Jung Ji-woo Film', 'origin_country': 'KR'}, {'id': 112531, 'logo_path': None, 'name': 'Movierock', 'origin_country': 'KR'}, {'id': 68969, 'logo_path': '/xXKhzWIdhsAlekyg0GTNZUkvQc1.png', 'name': 'CGV Arthouse', 'origin_country': 'KR'}, {'id': 142059, 'logo_path': None, 'name': 'Film Bongok', 'origin_country': 'KR'}]",2019-08-28,8494414,Tune in for Love,7.9,ko,184
1676,323272,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","The family-friendly movie explores the transformational role prayer plays in the lives of the Jordan family. Tony and Elizabeth Jordan, a middle-class couple who seemingly have it all – great jobs, a beautiful daughter, their dream home. But appearances can be deceiving. In reality, the Jordan’s marriage has become a war zone and their daughter is collateral damage. With the help of Miss Clara, an older, wiser woman, Elizabeth discovers she can start fighting for her family instead of against them. Through a newly energized faith, Elizabeth and Tony’s real enemy doesn’t have a prayer.",45.563,"[{'id': 144570, 'logo_path': None, 'name': 'FaithStep Films', 'origin_country': ''}, {'id': 10156, 'logo_path': '/bWjWWQfiyZh9AkGYCkx1NcVdSvn.png', 'name': 'Affirm Films', 'origin_country': 'US'}, {'id': 3291, 'logo_path': None, 'name': 'Provident Films', 'origin_country': 'US'}, {'id': 52021, 'logo_path': None, 'name': 'Red Sky Studios', 'origin_country': ''}, {'id': 559, 'logo_path': '/jqWioYeGSyTLuHth0141bTGvu6H.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}]",2015-08-28,67790117,War Room,7.9,en,360
1677,530385,9000000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]","Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",40.97,"[{'id': 39407, 'logo_path': '/1ht2ayBUdGgKuLRCkTjyGVEY5VL.png', 'name': 'B-Reel Films', 'origin_country': 'SE'}, {'id': 123620, 'logo_path': None, 'name': 'Square Peg', 'origin_country': 'US'}]",2019-07-03,47980982,Midsommar,7.1,en,4770
1678,254470,29000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]","The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",54.681,"[{'id': 12365, 'logo_path': None, 'name': 'Brownstone Productions', 'origin_country': 'US'}, {'id': 12026, 'logo_path': None, 'name': 'Gold Circle Films', 'origin_country': 'US'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]",2015-05-07,287506194,Pitch Perfect 2,6.9,en,4785
1679,515454,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]","Looking for an escape from her recurring nightmares, 18-year-old Sarah submits to a university sleep study, but soon realizes she's become the conduit to a frightening new discovery.",43.08,"[{'id': 5106, 'logo_path': '/UjER6i4eM9WuBCVxSSWFtMrsuT.png', 'name': 'Copperheart Entertainment', 'origin_country': 'CA'}, {'id': 4839, 'logo_path': None, 'name': 'Angel Entertainment', 'origin_country': ''}, {'id': 806, 'logo_path': '/kcNh09qqR2Pkw1JAzRW4CommrW4.png', 'name': 'Téléfilm Canada', 'origin_country': 'CA'}]",2020-09-24,70459,Come True,6.2,en,152
1680,25475,0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","A blue harvest moon will rise, allowing the fairies to use a precious moonstone to restore the Pixie Dust Tree, the source of all their magic. But when Tinker Bell accidentally puts all of Pixie Hollow in jeopardy, she must venture out across the sea on a secret quest to set things right.",46.802,"[{'id': 5391, 'logo_path': '/o5AcK10ViutenSa4XTD18ClCEWe.png', 'name': 'DisneyToon Studios', 'origin_country': 'US'}, {'id': 22135, 'logo_path': None, 'name': 'Prana Animation Studios', 'origin_country': ''}]",2009-09-03,0,Tinker Bell and the Lost Treasure,6.7,en,784
